2016年 05月 22日 星期日 10:47:48 CST
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00703            736.202
           0        tcp     0     1         3.00722            753.519
           0        tcp     0     1           4.012             737.85
           0        tcp     0     1          5.0146             739.45
           0        tcp     0     1         6.01624            740.161
           0        tcp     0     1         7.01817            703.161
           0        tcp     0     1         8.02093            763.838
           0        tcp     0     1         9.02177            703.923
           0        tcp     0     1         10.0266             729.66
           0        tcp     0     1          11.029            739.604
           0        tcp     0     1         12.0312            768.379
           0        tcp     0     1         13.0351            750.686
           0        tcp     0     1         14.0369             764.62
           0        tcp     0     1         15.0386            748.282
           0        tcp     0     1         16.0429            746.378
           0        tcp     0     1         17.0483            737.335
           0        tcp     0     1          18.055            708.029
           0        tcp     0     1         19.0635            714.815
           0        tcp     0     1         20.0674            709.904
           0        tcp     0     1          21.069             736.08
           0        tcp     0     1         22.0715            727.322
           0        tcp     0     1         23.0774            700.357
           0        tcp     0     1         24.0778            720.568
           0        tcp     0     1         25.0794            695.222
           0        tcp     0     1         26.0797            716.598
           0        tcp     0     1         27.0818            743.909
           0        tcp     0     1         28.0858            766.987
           0        tcp     0     1         29.0884            698.634
           0        tcp     0     1         30.0911            722.989
           0        tcp     0     1         31.0931            723.597
           0        tcp     0     1         32.0942            707.805
           0        tcp     0     1         33.0993            721.328
           0        tcp     0     1         34.1016            735.575
           0        tcp     0     1         35.1065             733.69
           0        tcp     0     1         36.1074            740.717
           0        tcp     0     1         37.1091            707.394
           0        tcp     0     1         38.1126            734.692
           0        tcp     0     1          39.113            745.153
           0        tcp     0     1         40.1181            741.715
           0        tcp     0     1         41.1183            733.042
           0        tcp     0     1         42.1198            703.434
           0        tcp     0     1         43.1222            719.152
           0        tcp     0     1         44.1258            738.762
           0        tcp     0     1         45.1317            708.531
           0        tcp     0     1         46.1347            747.288
           0        tcp     0     1         47.1354            724.515
           0        tcp     0     1         48.1421            744.547
           0        tcp     0     1         49.1433            740.524
           0        tcp     0     1         50.1484            729.416
           0        tcp     0     1         51.1527            713.798
           0        tcp     0     1         52.1542            723.856
           0        tcp     0     1         53.1551            757.095
           0        tcp     0     1         54.1583             726.76
           0        tcp     0     1         55.1638             721.03
           0        tcp     0     1          56.164            733.037
           0        tcp     0     1         57.1676            746.901
           0        tcp     0     1         58.1713            738.586
           0        tcp     0     1         59.1721            753.094
           0        tcp     0     1         60.1734            699.529
           0        tcp     0     1          61.178            733.881
           0        tcp     0     1         62.1804            706.892
           0        tcp     0     1         63.1876            719.807
           0        tcp     0     1         64.1943            732.373
           0        tcp     0     1         65.1997            700.726
           0        tcp     0     1         66.2016             735.89
           0        tcp     0     1         67.2041            682.335
           0        tcp     0     1         68.2071            747.357
           0        tcp     0     1          69.208            716.143
           0        tcp     0     1         70.2083            732.969
           0        tcp     0     1         71.2108            706.835
           0        tcp     0     1         72.2132            747.793
           0        tcp     0     1         73.2195            744.821
           0        tcp     0     1          74.223             710.27
           0        tcp     0     1         75.2299            736.297
           0        tcp     0     1         76.2318            715.446
           0        tcp     0     1         77.2332            752.567
           0        tcp     0     1         78.2349            760.595
           0        tcp     0     1           79.24            753.881
           0        tcp     0     1         80.2403            745.272
           0        tcp     0     1          81.254            707.097
           0        tcp     0     1         82.2549            736.587
           0        tcp     0     1         83.2616            732.441
           0        tcp     0     1         84.2659            713.688
           0        tcp     0     1         85.2682            702.875
           0        tcp     0     1          86.278            685.564
           0        tcp     0     1         87.2817            730.414
           0        tcp     0     1          88.287            745.687
           0        tcp     0     1         89.2886            744.244
           0        tcp     0     1         90.2896            740.651
           0        tcp     0     1         91.2946            729.538
           0        tcp     0     1         92.2971            710.913
           0        tcp     0     1         93.3019            737.836
           0        tcp     0     1         94.3046            727.137
           0        tcp     0     1         95.3092            766.471
           0        tcp     0     1         96.3124            685.969
           0        tcp     0     1          97.317            729.807
           0        tcp     0     1         98.3187            711.517
           0        tcp     0     1         99.3208            756.163



--- Hop Node Number:3 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2           2.002            347.467
           0        tcp     0     2         3.00652            375.133
           0        tcp     0     2         4.01087            354.811
           0        tcp     0     2         5.01097            380.888
           0        tcp     0     2         6.01256            359.877
           0        tcp     0     2         7.01275             352.19
           0        tcp     0     2         8.02711            363.421
           0        tcp     0     2          9.0362            369.379
           0        tcp     0     2          10.046            352.888
           0        tcp     0     2         11.0486            396.276
           0        tcp     0     2         12.0509            347.375
           0        tcp     0     2         13.0771            375.183
           0        tcp     0     2         14.0784            339.524
           0        tcp     0     2         15.0794            372.371
           0        tcp     0     2         16.0868            361.855
           0        tcp     0     2         17.0896            367.629
           0        tcp     0     2         18.0907            360.062
           0        tcp     0     2         19.1045            363.622
           0        tcp     0     2         20.1071            355.421
           0        tcp     0     2         21.1111            371.256
           0        tcp     0     2         22.1172            366.395
           0        tcp     0     2         23.1295            347.979
           0        tcp     0     2         24.1363            374.273
           0        tcp     0     2         25.1418            370.718
           0        tcp     0     2         26.1476            366.507
           0        tcp     0     2         27.1617            359.455
           0        tcp     0     2         28.1657            350.884
           0        tcp     0     2         29.1669            384.561
           0        tcp     0     2          30.177            356.813
           0        tcp     0     2          31.186            377.545
           0        tcp     0     2         32.1884            371.857
           0        tcp     0     2         33.1897            372.245
           0        tcp     0     2         34.1919             351.49
           0        tcp     0     2         35.1944            371.778
           0        tcp     0     2         36.1952            356.074
           0        tcp     0     2         37.2041            349.172
           0        tcp     0     2          38.217            363.935
           0        tcp     0     2         39.2175            388.929
           0        tcp     0     2         40.2175            348.138
           0        tcp     0     2         41.2213            359.098
           0        tcp     0     2         42.2267            378.891
           0        tcp     0     2          43.228            351.808
           0        tcp     0     2         44.2522            351.906
           0        tcp     0     2         45.2599            373.975
           0        tcp     0     2         46.2621            359.641
           0        tcp     0     2         47.2627            368.425
           0        tcp     0     2         48.2656            367.555
           0        tcp     0     2         49.2852            365.589
           0        tcp     0     2           50.29            379.105
           0        tcp     0     2         51.2974            374.083
           0        tcp     0     2         52.2992            363.875
           0        tcp     0     2         53.3059            374.324
           0        tcp     0     2         54.3106            362.839
           0        tcp     0     2         55.3229            360.098
           0        tcp     0     2         56.3258            367.585
           0        tcp     0     2         57.3433            354.245
           0        tcp     0     2         58.3494            366.394
           0        tcp     0     2         59.3626            359.812
           0        tcp     0     2         60.3787            382.943
           0        tcp     0     2          61.379             356.27
           0        tcp     0     2         62.3805            355.807
           0        tcp     0     2         63.3873            362.061
           0        tcp     0     2         64.3927            366.682
           0        tcp     0     2         65.3976            370.931
           0        tcp     0     2         66.4064            365.424
           0        tcp     0     2         67.4201            355.569
           0        tcp     0     2         68.4215             384.49
           0        tcp     0     2         69.4217             331.71
           0        tcp     0     2         70.4245            355.341
           0        tcp     0     2         71.4361             364.42
           0        tcp     0     2         72.4404            350.743
           0        tcp     0     2         73.4481            357.697
           0        tcp     0     2         74.4526            387.392
           0        tcp     0     2         75.4785            371.303
           0        tcp     0     2         76.4786             368.59
           0        tcp     0     2         77.4877            373.438
           0        tcp     0     2         78.4972            357.053
           0        tcp     0     2         79.5063            377.495
           0        tcp     0     2         80.5123            358.294
           0        tcp     0     2         81.5142            355.688
           0        tcp     0     2         82.5173            367.499
           0        tcp     0     2         83.5279            364.762
           0        tcp     0     2         84.5367            349.187
           0        tcp     0     2          85.547            360.836
           0        tcp     0     2         86.5496            363.589
           0        tcp     0     2         87.5545            358.684
           0        tcp     0     2         88.5569            367.761
           0        tcp     0     2         89.5627             366.51
           0        tcp     0     2          90.565            363.721
           0        tcp     0     2         91.5688            371.325
           0        tcp     0     2         92.5699            355.969
           0        tcp     0     2         93.5737            346.848
           0        tcp     0     2         94.5883            363.306
           0        tcp     0     2         95.5951            358.043
           0        tcp     0     2         96.6063            364.528
           0        tcp     0     2         97.6233            362.502
           0        tcp     0     2         98.6267            355.132
           0        tcp     0     2         99.6272            372.541



--- Hop Node Number:4 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     3         2.00972            324.527
